place-name,type,notes
saint-philippe du roule,metro station,
saint-placide,metro station,
saint-sébastien-froissart,metro station,
saint-sulpice,metro station,
ségur,metro station,
sentier,metro station,
sèvres–babylone,metro station,
sèvres-lecourbe,metro station,
simplon,metro station,
solférino,metro station,
stalingrad,metro station,
strasbourg-saint-denis,metro station,
sully-morland,metro station,
télégraphe,metro station,
temple,metro station,
ternes,metro station,
tolbiac,metro station,
trinité-d'estienne d'orves,metro station,
trocadéro,metro station,
tuileries,metro station,
vaneau,metro station,
varenne,metro station,
vaugirard,metro station,
vavin,metro station,
verdun-sud,metro station,
victor hugo,metro station,
villejuif-louis aragon,metro station,
villejuif-léo lagrange,metro station,
villejuif-paul vaillant-couturier,metro station,
villiers,metro station,
volontaires,metro station,
voltaire,metro station,
wagram,metro station,
bibliothèque mazarine,library,
bibliothèque richelieu-louvois,library,
bibliothèque de l’arsenal,library,
bibliothèque forney,library,
bibliothèque publique d’information,library,
bibliothèque sainte geneviève,library,
bibliothèque françois mitterand,library,
american library in paris,library,
bibliothèque historique de la ville de paris,library,
bibliothèque marguerite durand,library,
bibliothèque nationale de france,library,
bourse du commerce,government building,
mairie du 1er arrondissement de paris,government building,
hotel de ville,government building,
assemblée nationale,government building,
élysée palace,government building,
hotel de matignon,government building,
angelina rivoli,cafe,
la palette,cafe,
le dôme café,cafe,"le dôme, the dome"
la coupole,brasserie,
la maison rose,cafe,
la butte Montmartre,geographic location,
le penseur,statue,the thinker
obélisque de louxor,statue,luxor obelisk
statue of liberty,statue,
colonne de juillet,statue,july column
statue of jeanne d'arc,statue,
grand palais,monument,
flamme de la liberté,statue,flame of liberty
statue of marshal michel ney,statue,"marshal ney statue, michel ney monument"
statue of king louis ix,statue,
statue of ferdinand foch,statue,
statue of joseph joffre,statue,
statue of charlemagne,statue,
statue of albert i of belgium,statue,
statue of king henri iv,statue,statue équestre d'henri iv
statue of king louis xiii,statue,
statue of general lafayette,statue,
statue of king louis xiv,statue,
statue of josé de san martin,statue,
statue of king edward vii,statue,
statue of napoléon bonaparte,statue,
statue of george washington,statue,
statue of étienne marcel,statue,
musée rodin,museum,
colonne vendôme,statue,
fontaine saint-michel,fountain,
arènes de lutèce,ampitheater ,
honoré de balzac statue,statue,
tour saint-jacques,tower,saint-jacques tower
hippodrome de longchamp,racecourse,"paris longchamp racecourse, long champ, longchamp"
académie julian,school,académie julien
L'olympia,music hall,"olympia hall, paris olympia, olympia"
